ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
544,Strongly Agree,"I would rather use PascalCase, but any standardization is better than none",Agree,,Strongly Agree,,Strongly Agree,In compiled languages I would prefer no abbreviations at all,Agree,,5,If there are too many words it is a sign that the method does too much,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,Based on Microsoft's C# guidelines ,"Java,C,C#,JavaScript,Other language? Please specify below.",Delphi,10+ years
545,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"Java,JavaScript",,10+ years
546,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.",TCL,10+ years
547,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"Java,JavaScript,Other language? Please specify below.",PHP,10+ years
548,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,Strongly Agree,,3,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Java,JavaScript",,5 - 9 years
549,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Disagree,,Strongly Agree,,Agree,,,Slightly Strict,We have it built in to CI for some conditions like length of method name but can be overridden,"Python,Java,JavaScript,Other language? Please specify below.",Ruby,3 - 4 years
550,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,Very Strict,,"C#,JavaScript,Other language? Please specify below.",PHP,10+ years
551,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Very Strict,,"Python,C#,JavaScript",,3 - 4 years
552,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,"Camel case; clear, easily readable names; no unusual abbreviations; no redundant type information","C++,Java,C#,JavaScript,Other language? Please specify below.","Ruby, Smalltalk, Delphi/Pascal",10+ years
553,Agree,,Agree,,Agree,,Agree,,Agree,,3,"The ""Does not follow the standard"" section is flawed. The name 'find()' may be completely legitimate in the right context.",Agree,,Disagree,,Agree,,Agree,,"A method on ""SomeObject"" should not contain ""SomeObject"" in its name unless leacing it out would be confusing or ambiguous. Names that are too long (because e.g. of repetition of type names within function names) are as bad as names that are too short.",Slightly Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Clojure
Haskell
",10+ years
554,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Disagree,,Strongly Agree,,Disagree,,,No Standards,,Other language? Please specify below.,PHP,10+ years
555,Strongly Agree,,Agree,,Agree,"As long as the phrase used makes sense in the domain, it wouldn't have to be a word",Agree,,Strongly Agree,,6,"In general, I think character count matters more than word count",Agree,"An exception could come from ""internal"" codenamed projects that might mean something to the company or team",Strongly Agree,,Strongly Agree,,Agree,,"I like language support for methods that indicate their behavior, such as trailing bangs or question marks for dangerous or boolean return values",Slightly Strict,"Generally, we follow .NET conventions","Python,Java,C,C#,JavaScript,Other language? Please specify below.",Ruby,3 - 4 years
556,Agree,C# convention is Pascal Case.  getFullName() = camelCase; GetFullName() = PascalCase,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,15,,Agree,,Strongly Agree,,Agree,,Agree,,,No Standards,,C#,,10+ years
557,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,15,,Agree,,Agree,,Agree,,Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript",,10+ years
558,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,"We do not have a standard, we do code reviews..",JavaScript,,5 - 9 years
559,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,Agree,,5,,Disagree,,Disagree,,Strongly Agree,,Agree,,,Not Strict,,"Python,Java,Other language? Please specify below.",Ruby,10+ years
560,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,,Very Strict,,"Python,Java,JavaScript,Other language? Please specify below.",Go,10+ years
561,Strongly Agree,,Agree,,Disagree,,Agree,,Agree,,5,,Disagree,,Agree,,Agree,,Agree,,,Strict,It goes through code review and just has to be clear. The strictness is enforced in code review and there isn’t an strict grammatical-style standard,"Java,C#,JavaScript,Other language? Please specify below.",Ruby / rails,10+ years
562,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,Follow Microsoft best practices for c#,"C#,JavaScript",,10+ years
563,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,8,,Agree,,Agree,,Agree,,Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",Ruby,10+ years
564,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Disagree,,6,,Agree,,Disagree,,Agree,,Strongly Agree,,"Should not contain package/class names. If you have a Person class, don't put Person in any of the methods. That should be obvious.",Strict,"Naming should make sense, but be short and concise. It's okay to use ""c"" as a name for ""connection."" It's not okay to name a variable ""connection"" for a class named ""connection""","C#,Other language? Please specify below.",Go,3 - 4 years
565,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,6,,Agree,,Strongly Agree,,Agree,,Disagree,,,No Standards,,"C++,Java,C,JavaScript",,3 - 4 years
566,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,C,C#,JavaScript,Other language? Please specify below.",PowerShell,10+ years
567,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"Java,C#",,10+ years
568,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,Except if the code base is a massive monolithic block.,,Strict,,"C++,Python,Java,C,C#,JavaScript",,10+ years
569,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Python,JavaScript",,5 - 9 years
570,Strongly Agree,"Methods, especially in frequently used libraries which don’t follow this pattern are hard to remember. Examples are some python datetime methods like fromtimestamp",Agree,Redundant for computation but helpful if method uses network: “fetch” or similar helpful in that case,Strongly Agree,,Agree,Sometimes abbreviations are clear from context like proto in above example,Strongly Agree,,5,Methods used in test cases might be longer for clarity. Otherwise you’re writing nightmare level Java EE,Strongly Disagree,,Disagree,,Agree,,Agree,I believe this is called smurf naming convention ,,Slightly Strict,Language-dependent standards using linters ,"Python,Java,C,JavaScript,Other language? Please specify below.","Typescript, go, Scala ",10+ years
571,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Return value type would dictat the naming structure,Slightly Strict,,"C++,Java,C,C#,JavaScript",,10+ years
572,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,Strongly Disagree,,5,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,,JavaScript,,10+ years
573,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,3,,Agree,,Agree,,Agree,,Agree,,,Not Strict,,Python,,Prefer not to say
574,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,JavaScript",,10+ years
575,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,5,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,Java,C#,JavaScript",,1 - 2 years
576,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Python,Java,C,JavaScript",,1 - 2 years
577,Strongly Agree,"main note for all of these is I'm considering for public methods intended for anyone else to use. dependong on language interface, private methods may be named to discourage public use.",Strongly Agree,,Strongly Agree,,Agree,abbreviations available may be stack-dependent. is pg postgresql or an allocator page?,Strongly Agree,,5,,Agree,,Disagree,,Agree,,Agree,,,Slightly Strict,"python pep, go fmt",Python,,5 - 9 years
578,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,Java,C,C#,JavaScript,Other language? Please specify below.",Kotlin,1 - 2 years
579,Strongly Agree,,Disagree,"Command methods should, query methods should not",Agree,,Agree,,Strongly Agree,,8,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,Java,C,JavaScript,Other language? Please specify below.","PHP, go",10+ years
580,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,Java,,10+ years
581,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,JavaScript,Other language? Please specify below.","Swift
PHP
Objective-C
Sass",10+ years
582,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,,Strict,,"C#,JavaScript",,5 - 9 years
583,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,12,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,Function are capitalised (e.g. DoTheThing). Variables have arcane hungarian notation (e.g. ui32Number).,"C++,Python,C",,10+ years
584,Strongly Agree,,Agree,Sometimes name can just describe the thing returned- EffectiveTaxRate(),Agree,,Agree,,Agree,,5,,Disagree,A little occasional whimsy is allowable ,Agree,,Agree,"Abbreviations ok, per earlier question ",Agree,,,No Standards,"Capitalize first letter of word, dislike for underscores ","C#,Other language? Please specify below.",VB.Net,10+ years
585,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Any standard should be built around readability and consistency,No Standards, ,"Python,Java,JavaScript,Other language? Please specify below.",Golang,1 - 2 years
586,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,Get algo is also bad. What does the algorithm do?,Strongly Agree,,6,Long names are acceptable for unit tests,Strongly Agree,,Strongly Agree,This is especially important with globally dispersed teams,Strongly Agree,This is especially noticable problem in the machine learning space,Strongly Agree,,,Slightly Strict,They are not written down an anecdotal,"Python,Java,JavaScript,Other language? Please specify below.",Ruby,10+ years
587,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,7,,Agree,,Agree,,Agree,,Agree,,,Slightly Strict,,JavaScript,,10+ years
588,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Disagree,I find it useful to have common prefixes to group related methods,Strongly Agree,,Agree,,,Not Strict,,"C++,Python,Java,C,JavaScript",,10+ years
589,,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,15,,Agree,,Agree,,Strongly Agree,,Agree,,,Strict,We try to implement almost every convention stated here,"C++,Python,C,JavaScript",,10+ years
590,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,6,,Agree,,Disagree,,Strongly Agree,,Agree,,,Strict,,"C++,Python,Java,C,JavaScript",,3 - 4 years
591,Strongly Agree,Some languages depends on camel casing getters and setters,Strongly Agree,If a method doesn't have a behavior effect then why does it exist. It might as well be a variable ,Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Disagree,,,Slightly Strict,"Camel case, short, clear, industry abbreviation that are well known. Comments on interfaces for methods to support any ambiguity.","Java,JavaScript,Other language? Please specify below.",Scala,3 - 4 years
592,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,,Python,,3 - 4 years
593,Agree,exceptions for abbreviations,Disagree,Java has some prime examples on this where later apis drop the get-prefix sometimes,Strongly Agree,domain relevant is big though: aa2020 could be very domain-relevant,Disagree,repr() is fine in Python because it's context dependent,Agree,"dont see difference with previous question, but the examples are better",0,"Irrelevant. Say what the method does. If it does too many things, be honest about that. Be explicit about tech-debt",Agree,,Disagree,,Strongly Agree,,Agree,,Love F#'s use of whitespace in test-naming,Slightly Strict,Default C# conventions. Mixing explicite private this with leading _ as an example of tolerated inconsistency,"Python,Java,C#,JavaScript,Other language? Please specify below.","F#
Ruby
",10+ years
594,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Very Strict,,JavaScript,,10+ years
595,Strongly Agree,,Disagree,"Some lenguages discourage the get part for getters, some other exceptions are also possible ",Strongly Agree,,Agree,,Agree,,3,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,,No Standards,,"Java,JavaScript,Other language? Please specify below.","Go, ruby",10+ years
596,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,4,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,"eslint, airbnb",JavaScript,,5 - 9 years
597,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Agree,,Agree,,,Slightly Strict,,"Python,Java,C#,JavaScript",,10+ years
598,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,,Slightly Strict,,"Python,JavaScript,Other language? Please specify below.","Lisp, Elixir, Go",5 - 9 years
599,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,"Too open for misunderstanding, abbreviation meaning within business/domain change over time",Agree,Provided sticks to examples given ,10,Really no limit if it is necessary for clarity ,Strongly Agree,,Strongly Disagree,Completely changes the meaning of the method - unnecessary ,Strongly Agree,,Strongly Agree,,,No Standards,Sane? Teams agree and tends to be a lot of commonality between standards but is not dictated,"Python,Java,C#,JavaScript,Other language? Please specify below.",Ruby,10+ years
600,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,Java,,3 - 4 years
601,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,15,No limit,Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"Python,JavaScript,Other language? Please specify below.","Perl, Go",10+ years
602,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,,"JavaScript,Other language? Please specify below.",php html,10+ years
603,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,3,,Agree,,Disagree,,Agree,,Agree,,,Slightly Strict,,"Java,JavaScript",,10+ years
604,Agree,,Agree,The only exception is getter methods in Rust (should be `foo` instead of `get_foo`),Agree,,Agree,,,,4,,Agree,,Agree,,Agree,,Agree,,,No Standards,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.",Rust,10+ years
605,Strongly Agree,,Disagree,,Agree,,Agree,,Agree,,5,,Strongly Agree,,Disagree,,Agree,,Agree,,,Slightly Strict,,"C++,Python,Java,C,JavaScript",,10+ years
606,Strongly Agree,,Strongly Disagree,,Agree,,Disagree,,Agree,,3,,Disagree,,Disagree,,Agree,,Strongly Agree,,,Not Strict,,"C++,Python,Java,C,C#,JavaScript",,10+ years
607,Agree,,Strongly Disagree,,Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Ruby, Go, PHP",3 - 4 years
608,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,Java,JavaScript,Other language? Please specify below.","go, sh, ",10+ years
609,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Java,C#,JavaScript",,10+ years
610,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"Abbreviations should be avoided unless they are the common usage or the full term is too long. If an abbreviation is used, it should always be used.",Strongly Agree,"Should be avoided unless that’s the common way to refer to the object. If an acronym is used, it should always be used.",5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,"Names should be as short as possible, but no shorter. Don’t include the name of the class or modules in the method names, avoid redundancy.",Strict,Standard Angular and NodeJS.,"C#,JavaScript",,10+ years
611,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,JavaScript",,10+ years
612,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15," A very long name is indicative of an overly complex function, breaking the Single Responsibility Principal. However, there should not be a specified maximum.",Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,,"Java,C,C#,JavaScript",,10+ years
613,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,Java,C#",,5 - 9 years
614,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,C#,JavaScript",,5 - 9 years
615,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,C,C#,JavaScript",,10+ years
616,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,,,"Python,JavaScript",,Less than a year
617,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Java,C,C#,JavaScript,Other language? Please specify below.","Object Pascal
Typescript",10+ years
618,Strongly Agree,"Don't care what the standard is, but there should be one",Strongly Agree,"Not required for getters and setters of properties if the language has them, though.",Strongly Agree,,Strongly Agree,I think your standard is lax. Algo and str should not be abbreviated,Strongly Agree,camelCase for acronyms longer than 2 letters is the MS standard. ,10,Don't like arbitrary number. This is a judgement call. E.g. test methods have much longer names.,Strongly Disagree,"If people understand it, it's fine. And adding the occasional joke name is fun if it's still meaningful.",Agree,"Dunno about grammatically correct, but if it sounds like the verb phrase of a sentence that's a good sign.",Strongly Agree,,Agree,There might be good exceptions.,I think different standards aply to different contexts. Test names are longer than non. Languages have different common standards. Static/global methods/functions have different standards than object methods. There is a lot of nuance lost in this poll.,Strict,"For methods in Java and JS, camelCase verb phrases generally without abbreviation. Variables are camelCase subject phrases, I guess? Special/common abbreviations like e for event are allowed in JS. Class names TitleCase. Module names and CSS class names are kebab-case.","C++,Java,C,C#,JavaScript",,10+ years
619,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,4,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,JavaScript",,10+ years
620,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Should read like English. Clarity is of utmost importance.,Slightly Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.","Swift, Objectice-C, Ruby",5 - 9 years
621,Agree,"Generally yes. It certainly varies between codebases, and also languages. I imagine sometimes exceptions would exist too.",Agree,"Most of the time, assuming the method mutates state in an object. One exception may be using a builder pattern where one is describing different properties being applied.",Strongly Agree,,Strongly Agree,,Agree,"I prefer avoiding acronyms when possible. But yes, when used, they should be well known.",5,"One massive exception is the naming of tests. If the tooling does not support adding descriptions, then a significantly larger amount is better.",Agree,,Agree,,Agree,,Agree,,,Strict,"Typical unit test standards. General StyleCop/prettier rules (C#/Javascript respectively). Eliminate almost all warnings, a few small exceptions they can be disabled.","Python,Java,C#,JavaScript",,5 - 9 years
622,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Java,C,JavaScript",,10+ years
623,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Disagree,,8,The number of words is not as important as the number of characters. ,Agree,,Agree,,Strongly Agree,,Disagree,,A fixed character length for a method name over a set number of words.   All methods should begin with a lowercase character.  No exceptions.    ,Not Strict,Names of objects and methods are to be arranged to best fit filtering in an alphabetical order. ,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",Kotlin. ,5 - 9 years
624,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Very Strict,,"Java,JavaScript",,10+ years
625,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,4,,Agree,,Disagree,,Strongly Agree,,Disagree,,,Slightly Strict,,"Python,C#,JavaScript",,5 - 9 years
626,Strongly Agree,,Agree,,Strongly Agree,,Strongly Disagree,"Context should not be forgotten. I could totally name a method ""repair"" in two completely different classes if the method was actually concerning the repair operation of each object/instance.",Strongly Agree,,6,,Strongly Agree,,Strongly Agree,"Being a Rubyist, I have to strongly agree on this for Readability reasons.",Strongly Agree,"I think I have seen code in the past where single letters are method names, but it doesn't really make any sense to me. At the very least, they could use a name such as ""connect"" instead of plain ""c"". It's not even remotely descriptive that way.",Strongly Agree,"Having namespaces, if you do have to name a method using a prefix, the code and abstractions are probably wrong.","I feel that private method naming conventions should have been addressed too. For example, in PHP, private methods usually start with an underscore (prefix).",Slightly Strict,Ruby on Rails and ECMAscript 6. In Ruby we tend to use the underscore pattern for naming our methods (eg. connect_to_db) and in Javascript we tend to use camelCase (eg. connectToDb()).,"JavaScript,Other language? Please specify below.",Ruby,5 - 9 years
627,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,as the scope increases so do the method names,Strict,,"Python,Java,JavaScript",,10+ years
628,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Disagree,,Agree,,Strongly Agree,,Disagree,I don’t really do this but I’m not against it,,Slightly Strict,"Roughly in line with my preferences as stated in different answer here, but we don’t enforce all that strictly","Python,C#,JavaScript",,5 - 9 years
629,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,Shorter is better but being descriptive is most important.,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,Just to name things descriptively,"Python,Java,C,C#,JavaScript,Other language? Please specify below.",PHP,10+ years
630,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,Don’t care about length,Strongly Disagree,,Disagree,,Disagree,,Disagree,,Be clear above all consideration ,No Standards,,"C++,Java,C,C#",,10+ years
631,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,3,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,,Strict,,"C#,JavaScript,Other language? Please specify below.",SQL,10+ years
632,Strongly Agree,,Agree,Except for getters. I prefer person.name() instead of person.getName(),Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Boolean methods should start with prefix is (e.g. isEmpty). Methods name should indicate if they are pure functions or have side effects.,Strict,"Java naming conventions, using camelCase","C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",Clojure and Kotlin,5 - 9 years
633,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,Java,,10+ years
634,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript",,5 - 9 years
635,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,Typically Python snake_case in the verb_noun style.,Python,,5 - 9 years
636,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,Depends on language; Java/Kotlin requires more words than JS/TS,Agree,,Agree,,Strongly Agree,,Agree,,Use a single human language (English),Slightly Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.","TypeScript, Perl, PHP",10+ years
637,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Java,C#,Other language? Please specify below.",Swift,10+ years
638,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,C#,,10+ years
